state,year,support,fte,cpi_u_rs,cpi_u_rs_2019_adj,real_support_fte
North Dakota,1989,117600000,31072,188.6,1.996288441145281,7555.468610925755
Ohio,1989,1263100000,310651,188.6,1.996288441145281,8116.864037169056
Oklahoma,1989,490600000,103550,188.6,1.996288441145281,9458.030992041284
Oregon,1989,358000000,98481,188.6,1.996288441145281,7256.945623318311
Pennsylvania,1989,1098400000,270447,188.6,1.996288441145281,8107.774254304824
Rhode Island,1989,122500000,25468,188.6,1.996288441145281,9602.062746988257
South Carolina,1989,549000000,108158,188.6,1.996288441145281,10132.975408095188
South Dakota,1989,72200000,18227,188.6,1.996288441145281,7907.610986486492
Tennessee,1989,672200000,129524,188.6,1.996288441145281,10360.281416091673
Texas,1989,2180100000,584360,188.6,1.996288441145281,7447.649446472768
Utah,1989,264000000,57116,188.6,1.996288441145281,9227.189377098435
Vermont,1989,52700000,14678,188.6,1.996288441145281,7167.488816484283
Virginia,1989,986200000,198869,188.6,1.996288441145281,9899.680999338641
Washington,1989,713500000,149625,188.6,1.996288441145281,9519.477378493955
West Virginia,1989,225600000,55594,188.6,1.996288441145281,8100.922263596349
Wisconsin,1989,732900000,188166,188.6,1.996288441145281,7775.47377589669
Wyoming,1989,126200000,20472,188.6,1.996288441145281,12306.15481010817
U.S.,1989,34856500000,7473599,188.6,1.996288441145281,9310.5915970044
Alabama,1988,664300000,143246,180.7,2.083563918096292,9662.479306866278
Alaska,1988,146500000,14349,180.7,2.083563918096292,21272.709875329765
Arizona,1988,470700000,129939,180.7,2.083563918096292,7547.645712587635
Arkansas,1988,280700000,56056,180.7,2.083563918096292,10433.430708748916
California,1988,4957300000,1041280,180.7,2.083563918096292,9919.379428375412
Colorado,1988,410400000,116979,180.7,2.083563918096292,7309.813145835734
Connecticut,1988,407800000,59160,180.7,2.083563918096292,14362.36250506538
Delaware,1988,100200000,21842,180.7,2.083563918096292,9558.332780571765
Florida,1988,1318200000,303344,180.7,2.083563918096292,9054.255092682011
Georgia,1988,843100000,175581,180.7,2.083563918096292,10004.799718346427
Hawaii,1988,233000000,27774,180.7,2.083563918096292,17479.31133133276
Idaho,1988,144700000,26406,180.7,2.083563918096292,11417.54521504709
Illinois,1988,1224500000,348745,180.7,2.083563918096292,7315.7293085461
Indiana,1988,689000000,155593,180.7,2.083563918096292,9226.478951934505
Iowa,1988,416400000,93876,180.7,2.083563918096292,9241.936336180665
Kansas,1988,357500000,94748,180.7,2.083563918096292,7861.634026253056
Kentucky,1988,488400000,95408,180.7,2.083563918096292,10665.904511133544
Louisiana,1988,494500000,119878,180.7,2.083563918096292,8594.75764943206
Maine,1988,136800000,26300,180.7,2.083563918096292,10837.70129260733
Maryland,1988,593400000,149700,180.7,2.083563918096292,8259.097054097125
Massachusetts,1988,724400000,125620,180.7,2.083563918096292,12015.074846910955
Michigan,1988,1252600000,318057,180.7,2.083563918096292,8205.674340786134
Minnesota,1988,779100000,164368,180.7,2.083563918096292,9876.038210532593
Mississippi,1988,320600000,83406,180.7,2.083563918096292,8008.903341985844
Missouri,1988,495300000,128890,180.7,2.083563918096292,8006.743801948122
Montana,1988,105100000,25918,180.7,2.083563918096292,8449.053468320099
Nebraska,1988,227500000,61658,180.7,2.083563918096292,7687.741921030628
Nevada,1988,112600000,23875,180.7,2.083563918096292,9826.567421053089
New Hampshire,1988,66600000,23874,180.7,2.083563918096292,5812.40499896176
New Jersey,1988,964900000,156634,180.7,2.083563918096292,12835.213456664022
New Mexico,1988,269900000,56334,180.7,2.083563918096292,9982.495499950106
New York,1988,2474300000,407495,180.7,2.083563918096292,12651.350820367503
North Carolina,1988,1204700000,198805,180.7,2.083563918096292,12625.786333998658
North Dakota,1988,122300000,30159,180.7,2.083563918096292,8449.214734678753
Ohio,1988,1206900000,302175,180.7,2.083563918096292,8321.844271532771
Oklahoma,1988,466800000,102960,180.7,2.083563918096292,9446.4611205065
Oregon,1988,345800000,94549,180.7,2.083563918096292,7620.349267339663
Pennsylvania,1988,1024300000,262082,180.7,2.083563918096292,8143.231970551324
Rhode Island,1988,113400000,23999,180.7,2.083563918096292,9845.249731743803
South Carolina,1988,505100000,102793,180.7,2.083563918096292,10238.130369095534
South Dakota,1988,67800000,17761,180.7,2.083563918096292,7953.698195311559
Tennessee,1988,623200000,121957,180.7,2.083563918096292,10647.007008680186
Texas,1988,2170900000,545680,180.7,2.083563918096292,8289.12349691255
Utah,1988,257200000,56153,180.7,2.083563918096292,9543.437389531571
Vermont,1988,48500000,14441,180.7,2.083563918096292,6997.635207234276
Virginia,1988,879000000,191908,180.7,2.083563918096292,9543.388936399946
Washington,1988,668000000,150412,180.7,2.083563918096292,9253.388674363237
West Virginia,1988,214800000,53271,180.7,2.083563918096292,8401.372784574789
Wisconsin,1988,699600000,187399,180.7,2.083563918096292,7778.383647192173
Wyoming,1988,117200000,18669,180.7,2.083563918096292,13080.169864528654
U.S.,1988,32905800000,7251506,180.7,2.083563918096292,9454.772232980704
Alabama,1987,608000000,142140,174.4,2.1588302752293576,9234.338028278102
Alaska,1987,144100000,14894,174.4,2.1588302752293576,20886.7626333121
Arizona,1987,431100000,124340,174.4,2.1588302752293576,7484.894094027473
Arkansas,1987,263600000,55566,174.4,2.1588302752293576,10241.292526913196
California,1987,4785100000,1017608,174.4,2.1588302752293576,10151.47163740851
Colorado,1987,394100000,113381,174.4,2.1588302752293576,7503.858772350656
Connecticut,1987,359200000,57914,174.4,2.1588302752293576,13389.712934046782
Delaware,1987,96200000,21372,174.4,2.1588302752293576,9717.36255273555
Florida,1987,1192400000,291810,174.4,2.1588302752293576,8821.456496293773
Georgia,1987,793700000,171313,174.4,2.1588302752293576,10001.947251227526
Hawaii,1987,201000000,27862,174.4,2.1588302752293576,15574.075275324847
Idaho,1987,131500000,25252,174.4,2.1588302752293576,11242.126611462874
Illinois,1987,1285700000,351214,174.4,2.1588302752293576,7902.897050978562
Indiana,1987,646800000,151753,174.4,2.1588302752293576,9201.343116896196
Iowa,1987,383200000,94122,174.4,2.1588302752293576,8789.270961814345
Kansas,1987,320700000,92617,174.4,2.1588302752293576,7475.267707505695
Kentucky,1987,452800000,90483,174.4,2.1588302752293576,10803.337075736361
Louisiana,1987,489600000,118300,174.4,2.1588302752293576,8934.601037635617
Maine,1987,121400000,25900,174.4,2.1588302752293576,10118.995961885868
Maryland,1987,551000000,145579,174.4,2.1588302752293576,8170.927686351575
Massachusetts,1987,655400000,124550,174.4,2.1588302752293576,11360.075169693464
Michigan,1987,1221500000,310220,174.4,2.1588302752293576,8500.455100227775
Minnesota,1987,754900000,161556,174.4,2.1588302752293576,10087.529864385366
Mississippi,1987,305400000,84715,174.4,2.1588302752293576,7782.644939562602
Missouri,1987,456700000,127802,174.4,2.1588302752293576,7714.572437811988
Montana,1987,101100000,26965,174.4,2.1588302752293576,8094.112398505026
Nebraska,1987,215000000,61297,174.4,2.1588302752293576,7572.124397186027
Nevada,1987,102400000,22155,174.4,2.1588302752293576,9978.073580838918
New Hampshire,1987,55900000,21385,174.4,2.1588302752293576,5643.142968684642
New Jersey,1987,870600000,156944,174.4,2.1588302752293576,11975.466648069876
New Mexico,1987,256300000,55030,174.4,2.1588302752293576,10054.664719994264
New York,1987,2328800000,413336,174.4,2.1588302752293576,12163.18913657201
North Carolina,1987,1122500000,197847,174.4,2.1588302752293576,12248.287737215898
North Dakota,1987,124800000,30380,174.4,2.1588302752293576,8868.40086730164
Ohio,1987,1159300000,298678,174.4,2.1588302752293576,8379.364861400552
Oklahoma,1987,462300000,102072,174.4,2.1588302752293576,9777.678856479073
Oregon,1987,323600000,93073,174.4,2.1588302752293576,7505.909093552588
Pennsylvania,1987,972300000,253788,174.4,2.1588302752293576,8270.803491912558
Rhode Island,1987,105800000,22999,174.4,2.1588302752293576,9931.051050883345
South Carolina,1987,488700000,99877,174.4,2.1588302752293576,10563.196286478238
South Dakota,1987,68100000,17751,174.4,2.1588302752293576,8282.144202755859
Tennessee,1987,601300000,118487,174.4,2.1588302752293576,10955.67146180942
Texas,1987,1914700000,526592,174.4,2.1588302752293576,7849.5539772378825
Utah,1987,244400000,55647,174.4,2.1588302752293576,9481.519565584038
Vermont,1987,45400000,14100,174.4,2.1588302752293576,6951.127269178215
Virginia,1987,866400000,184121,174.4,2.1588302752293576,10158.594350773217
Washington,1987,624200000,150132,174.4,2.1588302752293576,8975.713757214751
West Virginia,1987,207500000,52906,174.4,2.1588302752293576,8467.041207237207
Wisconsin,1987,661000000,190722,174.4,2.1588302752293576,7482.025209082357
Wyoming,1987,116500000,16994,174.4,2.1588302752293576,14799.56026034013
U.S.,1987,31084000000,7125541,174.4,2.1588302752293576,9417.541808436628
Alabama,1986,691500000,139554,168.6,2.2330960854092528,11065.149999716943
Alaska,1986,167800000,13965,168.6,2.2330960854092528,26832.332483471007
Arizona,1986,410500000,118610,168.6,2.2330960854092528,7728.572152942402
Arkansas,1986,263000000,54590,168.6,2.2330960854092528,10758.458883726571
California,1986,4121700000,979150,168.6,2.2330960854092528,9400.145161856015
Colorado,1986,371000000,111441,168.6,2.2330960854092528,7434.235583733391
Connecticut,1986,318000000,58563,168.6,2.2330960854092528,12125.822706489464
Delaware,1986,89600000,20993,168.6,2.2330960854092528,9531.053648962465
Florida,1986,1060500000,283432,168.6,2.2330960854092528,8355.437630812725
Georgia,1986,745400000,167050,168.6,2.2330960854092528,9964.38085641459
Hawaii,1986,231000000,28689,168.6,2.2330960854092528,17980.591715624014
Idaho,1986,124400000,25452,168.6,2.2330960854092528,10914.551038225329
Illinois,1986,1213600000,345494,168.6,2.2330960854092528,7844.088201973607
Indiana,1986,595100000,151256,168.6,2.2330960854092528,8785.869522049019
Iowa,1986,364600000,94599,168.6,2.2330960854092528,8606.717118999286
